period,ISNE,NYIS,PJM
2024-03-19,18197,0,
2024-03-20,20723,0,
2024-03-21,41439,0,
2024-03-22,42294,0,
2024-03-23,38905,0,
2024-03-24,26311,0,
2024-03-25,29581,0,
2024-03-26,7141,3134,
2024-03-27,8236,0,
2024-03-28,9733,0,
2024-03-29,9670,0,
2024-03-30,9852,0,
2024-03-31,10340,0,
2024-04-01,9552,0,
2024-04-02,8081,0,
2024-04-03,20515,0,
2024-04-04,28320,0,
2024-04-05,21956,0,
2024-04-06,27668,0,
2024-04-07,21245,0,
2024-04-08,19540,2226,
2024-04-09,14643,5365,
2024-04-10,10893,0,
2024-04-11,15811,0,
2024-04-12,17594,8125,
2024-04-13,13941,11997,
2024-04-14,12792,0,
2024-04-15,13276,0,
2024-04-16,10079,0,
2024-04-17,7857,1476,
2024-04-18,7836,0,
2024-04-19,7217,0,
2024-04-20,15701,12767,
2024-04-21,11209,0,
2024-04-22,13945,0,
2024-04-23,12716,0,
2024-04-24,12014,0,
2024-04-25,14245,0,
2024-04-26,9975,0,
2024-04-27,9213,167,
2024-04-28,10933,1680,
2024-04-29,11803,1975,
2024-04-30,10469,0,
2024-05-01,8034,0,
2024-05-02,8124,0,
2024-05-03,9963,526,
2024-05-04,7468,0,
2024-05-05,7201,0,
2024-05-06,10840,0,
2024-05-07,11109,0,
2024-05-08,9159,3294,
2024-05-09,9060,0,
2024-05-10,5656,0,
2024-05-11,4440,2609,
2024-05-12,7615,0,
2024-05-13,5817,4313,
2024-05-14,9520,2727,
2024-05-15,13798,9609,
2024-05-16,14771,7339,
2024-05-17,11545,6360,
2024-05-18,22235,9735,
2024-05-19,10588,0,
2024-05-20,11563,7701,
2024-05-21,12268,6924,
2024-05-22,11927,22003,
2024-05-23,14932,15061,
2024-05-24,12838,13322,
2024-05-25,8468,16590,
2024-05-26,10951,20424,
2024-05-27,11316,11600,
2024-05-28,17802,16308,
2024-05-29,10767,8403,
2024-05-30,9352,9979,
2024-05-31,9214,8145,
2024-06-01,3425,12329,
2024-06-02,4980,17456,
2024-06-03,10928,14325,
2024-06-04,9041,8868,
2024-06-05,15212,17663,
2024-06-06,20095,23659,
2024-06-07,17085,19505,
2024-06-08,6815,13620,
2024-06-09,5472,17597,
2024-06-10,12743,16063,
2024-06-11,11850,9925,
2024-06-12,13704,11340,
2024-06-13,19068,17506,
2024-06-14,26923,15441,
2024-06-15,9885,13459,
2024-06-16,13509,17396,
2024-06-17,19790,11304,
2024-06-18,33880,13913,
2024-06-19,47247,18345,
2024-06-20,47486,26997,
2024-06-21,44466,47529,
2024-06-22,26803,47052,
2024-06-23,29016,46557,
2024-06-24,37040,37334,
2024-06-25,23830,35030,
2024-06-26,36292,28231,
2024-06-27,20223,28035,
2024-06-28,18714,27932,
2024-06-29,18277,31418,
2024-06-30,31633,43450,
2024-07-01,6326,31644,
2024-07-02,9438,32975,
2024-07-03,10000,29422,
2024-07-04,18800,14523,
2024-07-05,30842,40432,
2024-07-06,45693,51669,
2024-07-07,37168,51937,
2024-07-08,43948,43784,
2024-07-09,54349,43018,
2024-07-10,50344,61355,
2024-07-11,49673,50478,
2024-07-12,36002,37523,
2024-07-13,26360,30272,
2024-07-14,24337,31977,
2024-07-15,48520,41693,
2024-07-16,56856,58500,
2024-07-17,55969,53663,
2024-07-18,48777,43424,
2024-07-19,17149,39144,
2024-07-20,15394,36832,
2024-07-21,21037,36598,
2024-07-22,31644,38623,
2024-07-23,42736,33817,
2024-07-24,25098,36119,
2024-07-25,17698,34542,
2024-07-26,11681,23848,
2024-07-27,10292,20665,
2024-07-28,13564,27478,
2024-07-29,27171,20230,
2024-07-30,36996,22114,
2024-07-31,40555,25846,
2024-08-01,43080,37583,
2024-08-02,37813,45050,
2024-08-03,32680,35992,
2024-08-04,29056,30347,
2024-08-05,27236,41578,
2024-08-06,25039,39683,
2024-08-07,14694,15202,
2024-08-08,8380,9457,
2024-08-09,21267,22583,
2024-08-10,11850,34890,
2024-08-11,3584,25482,
2024-08-12,0,11814,
2024-08-13,2525,1943,
2024-08-14,7534,12689,
2024-08-15,7047,12188,
2024-08-16,5439,23652,
2024-08-17,87,25724,
2024-08-18,2052,27006,
2024-08-19,5249,31547,
2024-08-20,312,14854,
2024-08-21,804,3712,
2024-08-22,7852,16250,
2024-08-23,4179,11954,
2024-08-24,4795,10082,
2024-08-25,11646,14034,
2024-08-26,12368,11444,
2024-08-27,7786,17462,
2024-08-28,24059,37100,
2024-08-29,10786,36985,
2024-08-30,396,12719,
2024-08-31,7389,11124,
2024-09-01,11036,25397,
2024-09-02,3502,13753,
2024-09-03,7494,1095,
2024-09-04,10161,11177,
2024-09-05,7320,13628,
2024-09-06,5640,15706,
2024-09-07,11446,16045,
2024-09-08,5814,12891,
2024-09-09,5698,7174,
2024-09-10,5153,11117,
2024-09-11,6215,15938,
2024-09-12,9120,9344,
2024-09-13,7438,19012,
2024-09-14,6376,19633,
2024-09-15,3588,16775,
2024-09-16,5596,12390,
2024-09-17,11813,17673,
2024-09-18,3188,18496,
2024-09-19,4125,12823,
2024-09-20,5470,8860,
2024-09-21,467,965,
2024-09-22,983,3785,
2024-09-23,0,14450,
2024-09-24,0,11597,
2024-09-25,0,8844,
2024-09-26,0,12326,
2024-09-27,0,8520,
2024-09-28,0,13562,
2024-09-29,0,1599,
2024-09-30,0,8126,
2024-10-01,0,5103,
2024-10-02,0,8290,
2024-10-03,0,5431,
2024-10-04,0,9684,
2024-10-05,0,12421,
2024-10-06,0,23864,
2024-10-07,0,12014,
2024-10-08,0,7208,
2024-10-09,0,3156,
2024-10-10,0,0,
2024-10-11,67,0,
2024-10-12,0,0,
2024-10-13,0,2489,
2024-10-14,0,12652,
2024-10-15,0,5621,
2024-10-16,12278,0,
2024-10-17,4577,0,
2024-10-18,3815,0,
2024-10-19,4475,0,
2024-10-20,6730,0,
2024-10-21,13510,0,
2024-10-22,14320,1680,
2024-10-23,5866,1890,
2024-10-24,163,0,
2024-10-25,837,0,
2024-10-26,0,0,
2024-10-27,0,0,
2024-10-28,0,5978,
2024-10-29,0,0,
2024-10-30,0,7798,
2024-10-31,0,7673,
2024-11-01,0,3300,
2024-11-02,0,2587,
2024-11-03,0,5607,
2024-11-04,5880,10254,
2024-11-05,1985,10267,
2024-11-06,12173,6586,
2024-11-07,16646,6321,
2024-11-08,0,4875,
2024-11-09,0,3004,
2024-11-10,0,370,
2024-11-11,9861,6366,
2024-11-12,19768,0,
2024-11-13,0,4182,
2024-11-14,0,2013,
2024-11-15,0,0,
2024-11-16,0,8872,
2024-11-17,0,16165,
2024-11-18,0,15152,
2024-11-19,0,18213,
2024-11-20,0,15315,
2024-11-21,0,15082,
2024-11-22,0,19262,
2024-11-23,0,18345,
2024-11-24,0,13440,
2024-11-25,0,15687,
2024-11-26,0,17323,
2024-11-27,2264,10899,
2024-11-28,978,16935,
2024-11-29,337,16782,
